"Number","Name","Class","Position","Hometown","Team","Simple.Hometown","Label","Lon","Lat","Season"
34,"Blake Weyrick","FR","G","Los Angeles, California","Canisius","los angeles california","Canisius: 34 Blake Weyrick - Los Angeles, California (FR-G)",-118.2436849,34.0522342,20162017
40,"Jesse Pereira","FR","F","Fort Erie, Ontario","Canisius","fort erie ontario","Canisius: 40 Jesse Pereira - Fort Erie, Ontario (FR-F)",-78.9721745,42.9017764,20162017
44,"Alex Jaeckle","SO","D","St. Clair Shores, Michigan","Canisius","st clair shores michigan","Canisius: 44 Alex Jaeckle - St. Clair Shores, Michigan (SO-D)",-82.8963604,42.4974085,20162017
47,"David Bennett","JR","D","Ottawa, Ontario","Canisius","ottawa ontario","Canisius: 47 David Bennett - Ottawa, Ontario (JR-D)",-75.6971931,45.4215296,20162017
51,"Jeff Murray","JR","F","Newmarket, Ontario","Canisius","newmarket ontario","Canisius: 51 Jeff Murray - Newmarket, Ontario (JR-F)",-79.461256,44.059187,20162017
52,"Josh Supryka","SO","F","Belleville, Ontario","Canisius","belleville ontario","Canisius: 52 Josh Supryka - Belleville, Ontario (SO-F)",-77.3832315,44.1627589,20162017
53,"Cameron Heath","SO","D","Troy, Michigan","Canisius","troy michigan","Canisius: 53 Cameron Heath - Troy, Michigan (SO-D)",-83.1497751,42.6064095,20162017
55,"Jack Stander","JR","D","Grosse Pointe Woods, Michigan","Canisius","grosse pointe woods michigan","Canisius: 55 Jack Stander - Grosse Pointe Woods, Michigan (JR-D)",-82.9068603,42.4436478,20162017
71,"Joshua Gabriel","SO","F","Lancaster, New York","Canisius","lancaster new york","Canisius: 71 Joshua Gabriel - Lancaster, New York (SO-F)",-78.6703062,42.9006144,20162017
72,"Matt Hoover","FR","F","Brantford, Ontario","Canisius","brantford ontario","Canisius: 72 Matt Hoover - Brantford, Ontario (FR-F)",-80.2644254,43.1393867,20162017
74,"F lix Chamberland","SO","F","Quebec City, Quebec","Canisius","quebec city quebec","Canisius: 74 F lix Chamberland - Quebec City, Quebec (SO-F)",-71.2079809,46.8138783,20162017
77,"Jimmy Mazza","SO","D","Kings Park, New York","Canisius","kings park new york","Canisius: 77 Jimmy Mazza - Kings Park, New York (SO-D)",-73.2573369,40.886209,20162017
81,"Nolan Sheeran","JR","F","East Amherst, New York","Canisius","east amherst new york","Canisius: 81 Nolan Sheeran - East Amherst, New York (JR-F)",-78.6969831,43.0183126,20162017
91,"Nick Hutchison","FR","F","Hicksville, New York","Canisius","hicksville new york","Canisius: 91 Nick Hutchison - Hicksville, New York (FR-F)",-73.5251253,40.7684331,20162017
1,"Steve Perry","SR","G","Ligonier, Pennsylvania","Clarkson","ligonier pennsylvania","Clarkson: 01 Steve Perry - Ligonier, Pennsylvania (SR-G)",-79.2375325,40.2431278,20162017
2,"James de Haas","SR","D","Mississauga, Ontario","Clarkson","mississauga ontario","Clarkson: 02 James de Haas - Mississauga, Ontario (SR-D)",-79.6441198,43.5890452,20162017
3,"Greg Moro","FR","D","Edmonton, Alberta","Clarkson","edmonton alberta","Clarkson: 03 Greg Moro - Edmonton, Alberta (FR-D)",-113.4909267,53.544389,20162017
4,"Tyko Karjalainen","JR","D","Helsinki, Finland","Clarkson","helsinki finland","Clarkson: 04 Tyko Karjalainen - Helsinki, Finland (JR-D)",24.938379,60.1698557,20162017
5,"Kelly Summers","JR","D","Golden Lake, Ontario","Clarkson","golden lake ontario","Clarkson: 05 Kelly Summers - Golden Lake, Ontario (JR-D)",-77.2448919,45.580578,20162017
8,"Perry D'Arrisso","SR","F","Mississauga, Ontario","Clarkson","mississauga ontario","Clarkson: 08 Perry DArrisso - Mississauga, Ontario (SR-F)",-79.6441198,43.5890452,20162017
9,"Ben Dalpe","JR","F","Paris, Ontario","Clarkson","paris ontario","Clarkson: 09 Ben Dalpe - Paris, Ontario (JR-F)",-80.3844996,43.1940203,20162017
10,"Shane Kuzmeski","FR","D","Grayslake, Illinois","Clarkson","grayslake illinois","Clarkson: 10 Shane Kuzmeski - Grayslake, Illinois (FR-D)",-88.041746,42.3444664,20162017
11,"Sheldon Rempal","FR","F","Calgary, Alberta","Clarkson","calgary alberta","Clarkson: 11 Sheldon Rempal - Calgary, Alberta (FR-F)",-114.0708459,51.0486151,20162017
12,"Jordan Schneider","FR","D","Toronto, Ontario","Clarkson","toronto ontario","Clarkson: 12 Jordan Schneider - Toronto, Ontario (FR-D)",-79.3831843,43.653226,20162017
13,"Aaron Thow","SO","D","Toronto, Ontario","Clarkson","toronto ontario","Clarkson: 13 Aaron Thow - Toronto, Ontario (SO-D)",-79.3831843,43.653226,20162017
14,"Devin Brosseau","FR","F","Saint-Lambert, Qu<U+FFFD>bec","Clarkson","saintlambert quebec","Clarkson: 14 Devin Brosseau - Saint-Lambert, Qu<U+FFFD>bec (FR-F)",-73.5041752,45.4920344,20162017
15,"Dylan Gareau","JR","F","Richmond, Ontario","Clarkson","richmond ontario","Clarkson: 15 Dylan Gareau - Richmond, Ontario (JR-F)",-75.8388276,45.1943631,20162017
16,"Troy Josephs","SR","F","Whitby, Ontario","Clarkson","whitby ontario","Clarkson: 16 Troy Josephs - Whitby, Ontario (SR-F)",-78.9429329,43.8975446,20162017
17,"Nico Sturm","FR","F","Augsburg, Germany","Clarkson","augsburg germany","Clarkson: 17 Nico Sturm - Augsburg, Germany (FR-F)",10.89779,48.3705449,20162017
18,"Haralds Egle","FR","F","Liepaja, Latvia","Clarkson","liepaja latvia","Clarkson: 18 Haralds Egle - Liepaja, Latvia (FR-F)",21.010806,56.5046678,20162017
19,"Brett Gervais","JR","F","Corona, California","Clarkson","corona california","Clarkson: 19 Brett Gervais - Corona, California (JR-F)",-117.5664384,33.8752935,20162017
20,"Nic Pierog","JR","F","Georgetown, Ontario","Clarkson","georgetown ontario","Clarkson: 20 Nic Pierog - Georgetown, Ontario (JR-F)",-79.9036236,43.6502046,20162017
21,"Sam Vigneault","JR","F","Baie-Comeau, Quebec","Clarkson","baiecomeau quebec","Clarkson: 21 Sam Vigneault - Baie-Comeau, Quebec (JR-F)",-68.1503944,49.2212971,20162017
23,"Marly Quince","SO","F","Sioux Lookout, Ontario","Clarkson","sioux lookout ontario","Clarkson: 23 Marly Quince - Sioux Lookout, Ontario (SO-F)",-91.922038,50.0978321,20162017
26,"A.J. Fossen","SR","F","Maple Grove, Minnesota","Clarkson","maple grove minnesota","Clarkson: 26 A.J. Fossen - Maple Grove, Minnesota (SR-F)",-93.4557877,45.0724642,20162017
27,"Juho Jokiharju","SO","F","Tampere, Finland","Clarkson","tampere finland","Clarkson: 27 Juho Jokiharju - Tampere, Finland (SO-F)",23.7609535,61.4977524,20162017
28,"Jordan Boucher","SR","F","Sainte-Therese, Quebec","Clarkson","saintetherese quebec","Clarkson: 28 Jordan Boucher - Sainte-Therese, Quebec (SR-F)",-73.8439099,45.6397183,20162017
29,"Jake Kielly","FR","G","Eden Prairie, Minnesota","Clarkson","eden prairie minnesota","Clarkson: 29 Jake Kielly - Eden Prairie, Minnesota (FR-G)",-93.470786,44.8546856,20162017
34,"Ville Runola","SR","G","Raisio, Finland","Clarkson","raisio finland","Clarkson: 34 Ville Runola - Raisio, Finland (SR-G)",22.1689264,60.4859122,20162017
44,"Terrance Amorosa","JR","D","Kirkland, Quebec","Clarkson","kirkland quebec","Clarkson: 44 Terrance Amorosa - Kirkland, Quebec (JR-D)",-73.8623337,45.4560415,20162017
1,"Charlie Finn","SR","G","North Vancouver, British Columbia","Colgate","north vancouver british columbia","Colgate: 01 Charlie Finn - North Vancouver, British Columbia (SR-G)",-123.0724139,49.3199816,20162017
2,"Paul Meyer","FR","D","Edina, Minnesota","Colgate","edina minnesota","Colgate: 02 Paul Meyer - Edina, Minnesota (FR-D)",-93.3499489,44.8896866,20162017
3,"Ken Citron","SO","D","Cos Cobb, Connecticut","Colgate","cos cobb connecticut","Colgate: 03 Ken Citron - Cos Cobb, Connecticut (SO-D)",-73.5996472,41.0340436,20162017
4,"Willie Brooks","SO","D","Locust, New Jersey","Colgate","locust new jersey","Colgate: 04 Willie Brooks - Locust, New Jersey (SO-D)",-74.0262502,40.3945534,20162017
5,"Derek Freeman","SR","F","Newburyport, Massachusetts","Colgate","newburyport massachusetts","Colgate: 05 Derek Freeman - Newburyport, Massachusetts (SR-F)",-70.8772751,42.8125913,20162017
6,"Ross Craig","FR","D","South Glengarry, Ontario","Colgate","south glengarry ontario","Colgate: 06 Ross Craig - South Glengarry, Ontario (FR-D)",-74.5731489,45.1966189,20162017
8,"John Snodgrass","FR","F","Eagan, Minnesota","Colgate","eagan minnesota","Colgate: 08 John Snodgrass - Eagan, Minnesota (FR-F)",-93.1668858,44.8041322,20162017
9,"Bobby McMann","FR","F","Wainwright, Alberta","Colgate","wainwright alberta","Colgate: 09 Bobby McMann - Wainwright, Alberta (FR-F)",-110.8504696,52.83307,20162017
10,"Andrew Black","SR","F","Buffalo, New York","Colgate","buffalo new york","Colgate: 10 Andrew Black - Buffalo, New York (SR-F)",-78.8783689,42.8864468,20162017
11,"Jake Kulevich","SR","D","Marblehead, Massachusetts","Colgate","marblehead massachusetts","Colgate: 11 Jake Kulevich - Marblehead, Massachusetts (SR-D)",-70.8578024,42.4999582,20162017
12,"Adam Dauda","SO","F","Kitchener, Ontario","Colgate","kitchener ontario","Colgate: 12 Adam Dauda - Kitchener, Ontario (SO-F)",-80.4831917,43.450301,20162017
13,"Rory McGuire","SO","D","Bracebridge, Ontario","Colgate","bracebridge ontario","Colgate: 13 Rory McGuire - Bracebridge, Ontario (SO-D)",-79.3078787,45.0389565,20162017
14,"Jared Cockrell","FR","F","Byfield, Massachusetts","Colgate","byfield massachusetts","Colgate: 14 Jared Cockrell - Byfield, Massachusetts (FR-F)",-70.9475103,42.7595355,20162017
15,"Jacob Panetta","FR","D","Belleville, Ontario","Colgate","belleville ontario","Colgate: 15 Jacob Panetta - Belleville, Ontario (FR-D)",-77.3832315,44.1627589,20162017
16,"Sebastian Weberg","JR","F","Oslo, Norway","Colgate","oslo norway","Colgate: 16 Sebastian Weberg - Oslo, Norway (JR-F)",10.7522454,59.9138688,20162017
17,"Emilio Audi","SR","F","Montr<U+FFFD>al, Quebec","Colgate","montreal quebec","Colgate: 17 Emilio Audi - Montr<U+FFFD>al, Quebec (SR-F)",-73.567256,45.5016889,20162017
18,"Ben Sharf","FR","F","Williamsville, New York","Colgate","williamsville new york","Colgate: 18 Ben Sharf - Williamsville, New York (FR-F)",-78.7378091,42.963947,20162017
19,"Tim Harrison","SR","F","Duxbury, Massachusetts","Colgate","duxbury massachusetts","Colgate: 19 Tim Harrison - Duxbury, Massachusetts (SR-F)",-70.6722767,42.0417525,20162017
20,"Brett Corkey","SR","D","Calgary, Alberta","Colgate","calgary alberta","Colgate: 20 Brett Corkey - Calgary, Alberta (SR-D)",-114.0708459,51.0486151,20162017
21,"Tyler Penner","FR","F","Winnipeg, Manitoba","Colgate","winnipeg manitoba","Colgate: 21 Tyler Penner - Winnipeg, Manitoba (FR-F)",-97.1383744,49.895136,20162017
24,"Anthony Sanniti","SR","D","LaSalle, Quebec","Colgate","lasalle quebec","Colgate: 24 Anthony Sanniti - LaSalle, Quebec (SR-D)",-73.6348015,45.4306269,20162017
26,"Evan Peterson","JR","F","Lakeville, Minnesota","Colgate","lakeville minnesota","Colgate: 26 Evan Peterson - Lakeville, Minnesota (JR-F)",-93.24272,44.6496868,20162017
27,"Mike Panowyk","JR","F","Whitby, Ontario","Colgate","whitby ontario","Colgate: 27 Mike Panowyk - Whitby, Ontario (JR-F)",-78.9429329,43.8975446,20162017
28,"Hunter Racine","SO","F","Ottawa, Ontario","Colgate","ottawa ontario","Colgate: 28 Hunter Racine - Ottawa, Ontario (SO-F)",-75.6971931,45.4215296,20162017
31,"Zac Hamilton","JR","G","Ottawa, Ontario","Colgate","ottawa ontario","Colgate: 31 Zac Hamilton - Ottawa, Ontario (JR-G)",-75.6971931,45.4215296,20162017
32,"Colton Point","FR","G","North Bay, Ontario","Colgate","north bay ontario","Colgate: 32 Colton Point - North Bay, Ontario (FR-G)",-79.4608204,46.3091152,20162017
33,"Bruce Racine","JR","G","Bethesda, Maryland","Colgate","bethesda maryland","Colgate: 33 Bruce Racine - Bethesda, Maryland (JR-G)",-77.0947092,38.984652,20162017
1,"Alex Leclerc","FR","G","Longueuil, Qu<U+FFFD>bec","Colorado College","longueuil quebec","Colorado College: 01 Alex Leclerc - Longueuil, Qu<U+FFFD>bec (FR-G)",-73.5107131,45.5369442,20162017
2,"Trevor Gooch","SO","F","Mantua, New Jersey","Colorado College","mantua new jersey","Colorado College: 02 Trevor Gooch - Mantua, New Jersey (SO-F)",-75.1821597,39.7818322,20162017
3,"Kristian Blumenschein","FR","D","Kelowna, British Columbia","Colorado College","kelowna british columbia","Colorado College: 03 Kristian Blumenschein - Kelowna, British Columbia (FR-D)",-119.4960106,49.8879519,20162017
4,"Duggie Lagrone","JR","D","Plano, Texas","Colorado College","plano texas","Colorado College: 04 Duggie Lagrone - Plano, Texas (JR-D)",-96.6988856,33.0198431,20162017
5,"Cole McCaskill","SO","D","Kamloops, British Columbia","Colorado College","kamloops british columbia","Colorado College: 05 Cole McCaskill - Kamloops, British Columbia (SO-D)",-120.3272674,50.674522,20162017
6,"Nate Kwiecinski","SO","D","Livonia, Michigan","Colorado College","livonia michigan","Colorado College: 06 Nate Kwiecinski - Livonia, Michigan (SO-D)",-83.3527097,42.36837,20162017
7,"David Radke","SO","D","Orinda, California","Colorado College","orinda california","Colorado College: 07 David Radke - Orinda, California (SO-D)",-122.1796888,37.8771476,20162017
8,"Luc Gerdes","SR","F","Eden Prairie, Minnesota","Colorado College","eden prairie minnesota","Colorado College: 08 Luc Gerdes - Eden Prairie, Minnesota (SR-F)",-93.470786,44.8546856,20162017
9,"Sam Rothstein","SR","F","Minnetonka, Minnesota","Colorado College","minnetonka minnesota","Colorado College: 09 Sam Rothstein - Minnetonka, Minnesota (SR-F)",-93.4687489,44.9211836,20162017
10,"Tanner Ockey","SO","F","Calgary, Alberta","Colorado College","calgary alberta","Colorado College: 10 Tanner Ockey - Calgary, Alberta (SO-F)",-114.0708459,51.0486151,20162017
11,"Christian Heil","SR","F","Westminster, Colorado","Colorado College","westminster colorado","Colorado College: 11 Christian Heil - Westminster, Colorado (SR-F)",-105.0372046,39.8366528,20162017
12,"Bryce Van Horn","FR","F","Kimball, Michigan","Colorado College","kimball michigan","Colorado College: 12 Bryce Van Horn - Kimball, Michigan (FR-F)",-82.5402275,42.9511374,20162017
13,"Nick Halloran","FR","F","Draper, Utah","Colorado College","draper utah","Colorado College: 13 Nick Halloran - Draper, Utah (FR-F)",-111.8638226,40.5246711,20162017
14,"Trey Bradley","SO","F","Tampa, Florida","Colorado College","tampa florida","Colorado College: 14 Trey Bradley - Tampa, Florida (SO-F)",-82.4571776,27.950575,20162017
15,"Mason Bergh","SO","F","Eden Prairie, Minnesota","Colorado College","eden prairie minnesota","Colorado College: 15 Mason Bergh - Eden Prairie, Minnesota (SO-F)",-93.470786,44.8546856,20162017
16,"Teemu Kivihalme","JR","D","Savage, Minnesota","Colorado College","savage minnesota","Colorado College: 16 Teemu Kivihalme - Savage, Minnesota (JR-D)",-93.3591147,44.7647329,20162017
17,"Westin Michaud","SO","F","Cloquet, Minnesota","Colorado College","cloquet minnesota","Colorado College: 17 Westin Michaud - Cloquet, Minnesota (SO-F)",-92.4611825,46.7217735,20162017
18,"Branden Makara","FR","F","Gloucester, Ontario","Colorado College","gloucester ontario","Colorado College: 18 Branden Makara - Gloucester, Ontario (FR-F)",-75.5942867,45.4473421,20162017
19,"James Martello","SO","F","Rumson, New Jersey","Colorado College","rumson new jersey","Colorado College: 19 James Martello - Rumson, New Jersey (SO-F)",-73.9990269,40.372054,20162017
20,"Alex Pernitsky","FR","D","Unity, Saskatchewan","Colorado College","unity saskatchewan","Colorado College: 20 Alex Pernitsky - Unity, Saskatchewan (FR-D)",-109.1583194,52.4437324,20162017
22,"Cole Josefchak","FR","D","Calgary, Alberta","Colorado College","calgary alberta","Colorado College: 22 Cole Josefchak - Calgary, Alberta (FR-D)",-114.0708459,51.0486151,20162017
23,"Matt Hansen","SR","F","St. Cloud, Minnesota","Colorado College","st cloud minnesota","Colorado College: 23 Matt Hansen - St. Cloud, Minnesota (SR-F)",-94.1632404,45.5579451,20162017
24,"Kade Kehoe","FR","F","Saskatoon, Saskatchewan","Colorado College","saskatoon saskatchewan","Colorado College: 24 Kade Kehoe - Saskatoon, Saskatchewan (FR-F)",-106.6700458,52.1332144,20162017
25,"Alex Berardinelli","FR","F","Pittsburgh, Pennsylvania","Colorado College","pittsburgh pennsylvania","Colorado College: 25 Alex Berardinelli - Pittsburgh, Pennsylvania (FR-F)",-79.9958864,40.4406248,20162017
26,"Max St. Pierre","FR","F","Orleans, Ontario","Colorado College","orleans ontario","Colorado College: 26 Max St. Pierre - Orleans, Ontario (FR-F)",-75.5047333,45.4558019,20162017
27,"Ben Israel","SO","D","Bloomfield Hills, Michigan","Colorado College","bloomfield hills michigan","Colorado College: 27 Ben Israel - Bloomfield Hills, Michigan (SO-D)",-83.2454883,42.583645,20162017
28,"Alex Roos","SR","F","Prairie Grove, Illinois","Colorado College","prairie grove illinois","Colorado College: 28 Alex Roos - Prairie Grove, Illinois (SR-F)",-88.2609184,42.2786339,20162017
29,"Gregg Burmaster","SO","F","Clinton, New York","Colorado College","clinton new york","Colorado College: 29 Gregg Burmaster - Clinton, New York (SO-F)",-75.3785034,43.0484029,20162017
30,"Derek Shatzer","SR","G","Highlands Ranch, Colorado","Colorado College","highlands ranch colorado","Colorado College: 30 Derek Shatzer - Highlands Ranch, Colorado (SR-G)",-104.9739333,39.5480789,20162017
31,"Jacob Nehama","SO","G","Allen, Texas","Colorado College","allen texas","Colorado College: 31 Jacob Nehama - Allen, Texas (SO-G)",-96.6705503,33.1031744,20162017
39,"Andrew Farny","SO","D","Steamboat Springs, Colorado","Colorado College","steamboat springs colorado","Colorado College: 39 Andrew Farny - Steamboat Springs, Colorado (SO-D)",-106.8317158,40.4849769,20162017
1,"Tanner Creel","JR","G","Arlington Heights, Illinois","Connecticut","arlington heights illinois","Connecticut: 01 Tanner Creel - Arlington Heights, Illinois (JR-G)",-87.9806265,42.0883603,20162017
2,"Derek Pratt","JR","D","Mount Hermon, Massachusetts","Connecticut","mount hermon massachusetts","Connecticut: 02 Derek Pratt - Mount Hermon, Massachusetts (JR-D)",-72.4996367,42.6408105,20162017
4,"Bryan Nelson","FR","D","Upton, Massachusetts","Connecticut","upton massachusetts","Connecticut: 04 Bryan Nelson - Upton, Massachusetts (FR-D)",-71.6022583,42.1744878,20162017
5,"David Drake","JR","D","Naperville, Illinois","Connecticut","naperville illinois","Connecticut: 05 David Drake - Naperville, Illinois (JR-D)",-88.1535352,41.7508391,20162017
6,"Johnny Austin","JR","D","St. Louis Park, Minnesota","Connecticut","st louis park minnesota","Connecticut: 06 Johnny Austin - St. Louis Park, Minnesota (JR-D)",-93.3702186,44.9597376,20162017
7,"Joona Kunnas","SR","D","Vantaa, Finland","Connecticut","vantaa finland","Connecticut: 07 Joona Kunnas - Vantaa, Finland (SR-D)",25.0377686,60.2933524,20162017
8,"Spencer Naas","JR","F","Minnetonka, Minnesota","Connecticut","minnetonka minnesota","Connecticut: 08 Spencer Naas - Minnetonka, Minnesota (JR-F)",-93.4687489,44.9211836,20162017
9,"Alexander Payusov","FR","F","Montr<U+FFFD>al, Quebec","Connecticut","montreal quebec","Connecticut: 09 Alexander Payusov - Montr<U+FFFD>al, Quebec (FR-F)",-73.567256,45.5016889,20162017
10,"Miles Gendron","SO","D","Shrewsbury, Massachusetts","Connecticut","shrewsbury massachusetts","Connecticut: 10 Miles Gendron - Shrewsbury, Massachusetts (SO-D)",-71.7128471,42.2959267,20162017
11,"Corey Ronan","JR","F","Franklin, Massachusetts","Connecticut","franklin massachusetts","Connecticut: 11 Corey Ronan - Franklin, Massachusetts (JR-F)",-71.396725,42.0834313,20162017
13,"Joseph Masonius","SO","D","Spring Lake, New Jersey","Connecticut","spring lake new jersey","Connecticut: 13 Joseph Masonius - Spring Lake, New Jersey (SO-D)",-74.0281925,40.1534476,20162017
16,"Karl El-Mir","SO","F","Montreal, Quebec","Connecticut","montreal quebec","Connecticut: 16 Karl El-Mir - Montreal, Quebec (SO-F)",-73.567256,45.5016889,20162017
17,"Jesse Schwartz","JR","F","Toronto, Ontario","Connecticut","toronto ontario","Connecticut: 17 Jesse Schwartz - Toronto, Ontario (JR-F)",-79.3831843,43.653226,20162017
18,"Max Kalter","SO","F","Highland Park, Illinois","Connecticut","highland park illinois","Connecticut: 18 Max Kalter - Highland Park, Illinois (SO-F)",-87.8003437,42.1816918,20162017
19,"Evan Richardson","SR","F","Nanaimo, British Columbia","Connecticut","nanaimo british columbia","Connecticut: 19 Evan Richardson - Nanaimo, British Columbia (SR-F)",-123.9400647,49.1658836,20162017
20,"Wyatt Newpower","FR","D","Hugo, Minnesota","Connecticut","hugo minnesota","Connecticut: 20 Wyatt Newpower - Hugo, Minnesota (FR-D)",-92.9933412,45.159964,20162017
21,"Jeff Wight","JR","F","Coquitlam, British Columbia","Connecticut","coquitlam british columbia","Connecticut: 21 Jeff Wight - Coquitlam, British Columbia (JR-F)",-122.7932065,49.2837626,20162017
22,"Justin Howell","FR","F","Saint Paul, Minnesota","Connecticut","saint paul minnesota","Connecticut: 22 Justin Howell - Saint Paul, Minnesota (FR-F)",-93.0899578,44.9537029,20162017
23,"Kasperi Ojantakanen","JR","F","Helsinki, Finland","Connecticut","helsinki finland","Connecticut: 23 Kasperi Ojantakanen - Helsinki, Finland (JR-F)",24.938379,60.1698557,20162017
24,"Benjamin Freeman","FR","F","Falmouth, Maine","Connecticut","falmouth maine","Connecticut: 24 Benjamin Freeman - Falmouth, Maine (FR-F)",-70.2601759,43.7435343,20162017
26,"Philip Nyberg","FR","D","Linkoping, Sweden","Connecticut","linkoping sweden","Connecticut: 26 Philip Nyberg - Linkoping, Sweden (FR-D)",15.6213727,58.410807,20162017
27,"Maxim Letunov","SO","F","Moscow, Russia","Connecticut","moscow russia","Connecticut: 27 Maxim Letunov - Moscow, Russia (SO-F)",37.6173,55.755826,20162017
28,"Brian Morgan","SR","F","Windham, New Hampshire","Connecticut","windham new hampshire","Connecticut: 28 Brian Morgan - Windham, New Hampshire (SR-F)",-71.304229,42.8006441,20162017
29,"Tage Thompson","SO","F","Orange, Connecticut","Connecticut","orange connecticut","Connecticut: 29 Tage Thompson - Orange, Connecticut (SO-F)",-73.0265277,41.278637,20162017
30,"Adam Huska","FR","G","Zvolen, Slovakia","Connecticut","zvolen slovakia","Connecticut: 30 Adam Huska - Zvolen, Slovakia (FR-G)",19.1371155,48.5761806,20162017
31,"Rob Nichols","SR","G","Dallas, Texas","Connecticut","dallas texas","Connecticut: 31 Rob Nichols - Dallas, Texas (SR-G)",-96.7969879,32.7766642,20162017
35,"Steve Thulin","JR","G","North Reading, Massachusetts","Connecticut","north reading massachusetts","Connecticut: 35 Steve Thulin - North Reading, Massachusetts (JR-G)",-71.0786653,42.5750939,20162017
2,"Brendan Smith","SO","D","Centennial, Colorado","Cornell","centennial colorado","Cornell: 02 Brendan Smith - Centennial, Colorado (SO-D)",-104.8771726,39.5807452,20162017
4,"Alex Rauter","JR","F","Chatham, New Jersey","Cornell","chatham new jersey","Cornell: 04 Alex Rauter - Chatham, New Jersey (JR-F)",-74.3837624,40.740934,20162017
5,"Matthew Nuttle","SO","D","Marilla, New York","Cornell","marilla new york","Cornell: 05 Matthew Nuttle - Marilla, New York (SO-D)",-78.5550242,42.8400595,20162017
6,"Holden Anderson","SR","D","Montr<U+FFFD>al, Quebec","Cornell","montreal quebec","Cornell: 06 Holden Anderson - Montr<U+FFFD>al, Quebec (SR-D)",-73.567256,45.5016889,20162017
7,"Jake Weidner","SR","F","Grand Valley, Ontario","Cornell","grand valley ontario","Cornell: 07 Jake Weidner - Grand Valley, Ontario (SR-F)",-80.3881333,43.9377374,20162017
8,"Yanni Kaldis","FR","D","Montreal, Quebec","Cornell","montreal quebec","Cornell: 08 Yanni Kaldis - Montreal, Quebec (FR-D)",-73.567256,45.5016889,20162017
9,"Noah Bauld","FR","F","Halifax, Nova Scotia","Cornell","halifax nova scotia","Cornell: 09 Noah Bauld - Halifax, Nova Scotia (FR-F)",-63.5752387,44.6487635,20162017
10,"Beau Starrett","SO","F","Bellingham, Massachusetts","Cornell","bellingham massachusetts","Cornell: 10 Beau Starrett - Bellingham, Massachusetts (SO-F)",-71.4745881,42.0867608,20162017
11,"Eric Freschi","SR","F","Bloomington, Minnesota","Cornell","bloomington minnesota","Cornell: 11 Eric Freschi - Bloomington, Minnesota (SR-F)",-93.2982799,44.840798,20162017
12,"Connor Murphy","FR","F","Ancaster, Ontario","Cornell","ancaster ontario","Cornell: 12 Connor Murphy - Ancaster, Ontario (FR-F)",-79.9872835,43.2177791,20162017
14,"Mitch Vanderlaan","SO","F","Hanwell, New Brunswick","Cornell","hanwell new brunswick","Cornell: 14 Mitch Vanderlaan - Hanwell, New Brunswick (SO-F)",-66.7516364,45.8902806,20162017
15,"Trevor Yates","JR","F","Beaconsfield, Quebec","Cornell","beaconsfield quebec","Cornell: 15 Trevor Yates - Beaconsfield, Quebec (JR-F)",-73.8682835,45.4309308,20162017
16,"Matt Buckles","SR","F","Toronto, Ontario","Cornell","toronto ontario","Cornell: 16 Matt Buckles - Toronto, Ontario (SR-F)",-79.3831843,43.653226,20162017
17,"Anthony Angello","SO","F","Manlius, New York","Cornell","manlius new york","Cornell: 17 Anthony Angello - Manlius, New York (SO-F)",-75.9695465,43.0581768,20162017
18,"Jared Fiegl","JR","F","Parker, Colorado","Cornell","parker colorado","Cornell: 18 Jared Fiegl - Parker, Colorado (JR-F)",-104.7613633,39.5186002,20162017
19,"Corey Hoffman","FR","F","Plainview, New York","Cornell","plainview new york","Cornell: 19 Corey Hoffman - Plainview, New York (FR-F)",-73.4673454,40.7764882,20162017
20,"Dan Wedman","JR","D","Edmonton, Alberta","Cornell","edmonton alberta","Cornell: 20 Dan Wedman - Edmonton, Alberta (JR-D)",-113.4909267,53.544389,20162017
21,"Dwyer Tschantz","JR","F","Wilmington, Delaware","Cornell","wilmington delaware","Cornell: 21 Dwyer Tschantz - Wilmington, Delaware (JR-F)",-75.5397878,39.7390721,20162017
22,"Jeff Malott","FR","F","Burlington, Ontario","Cornell","burlington ontario","Cornell: 22 Jeff Malott - Burlington, Ontario (FR-F)",-79.7990319,43.3255196,20162017
23,"Trent Shore","SO","D","Ajax, Ontario","Cornell","ajax ontario","Cornell: 23 Trent Shore - Ajax, Ontario (SO-D)",-79.0203732,43.8508553,20162017
24,"Ryan Bliss","JR","D","Chelmsford, Massachusetts","Cornell","chelmsford massachusetts","Cornell: 24 Ryan Bliss - Chelmsford, Massachusetts (JR-D)",-71.3672838,42.5998139,20162017
26,"Jeff Kubiak","SR","F","Tinley Park, Illinois","Cornell","tinley park illinois","Cornell: 26 Jeff Kubiak - Tinley Park, Illinois (SR-F)",-87.7932939,41.5731442,20162017
27,"Patrick McCarron","SR","D","Toronto, Ontario","Cornell","toronto ontario","Cornell: 27 Patrick McCarron - Toronto, Ontario (SR-D)",-79.3831843,43.653226,20162017
28,"Luc Lalor","SO","F","St. Albert, Alberta","Cornell","st albert alberta","Cornell: 28 Luc Lalor - St. Albert, Alberta (SO-F)",-113.625642,53.6304753,20162017
29,"Alec McCrea","SO","D","El Cajon, California","Cornell","el cajon california","Cornell: 29 Alec McCrea - El Cajon, California (SO-D)",-116.9625269,32.7947731,20162017
